season,match_id,p_model,market_prob,p_blend,bet,edge,odds,actual,profit
2024-25,ucl-2024-25-002,0.545016077170418,0.5483028720626633,0.5466594746165406,Under,0.0016433974461225742,2.1,Over,-1
2024-25,ucl-2024-25-002,0.545016077170418,0.5076923076923077,0.5263541924313628,Over,0.018661884739055168,1.92,Over,0.9199999999999999
2024-25,ucl-2024-25-045,0.545016077170418,0.5153846153846154,0.5302003462775167,Over,0.014815730892901224,1.89,Under,-1
2024-25,ucl-2024-25-173,0.545016077170418,0.47368421052631576,0.5093501438483669,Over,0.03566593332205109,2.0,Over,1.0
2024-25,ucl-2024-25-142,0.545016077170418,0.586734693877551,0.5658753855239844,Under,0.020859308353566586,2.3,Over,-1
2024-25,ucl-2024-25-063,0.545016077170418,0.43152454780361754,0.4882703124870178,Over,0.05674576468340026,2.2,Under,-1
2024-25,ucl-2024-25-036,0.551111111111111,0.5263157894736842,0.5387134502923976,Over,0.012397660818713407,1.8,Under,-1
2024-25,ucl-2024-25-101,0.545016077170418,0.5153846153846154,0.5302003462775167,Over,0.014815730892901224,1.89,Over,0.8899999999999999
2024-25,ucl-2024-25-060,0.551111111111111,0.6009975062344141,0.5760543086727625,Under,0.02494319756165142,2.41,Over,-1
2024-25,ucl-2024-25-032,0.551111111111111,0.6818181818181818,0.6164646464646464,Under,0.0653535353535355,3.0,Under,2.0
2024-25,ucl-2024-25-113,0.551111111111111,0.6203473945409429,0.585729252826027,Under,0.03461814171491595,2.5,Over,-1
2024-25,ucl-2024-25-170,0.6198347107438017,0.6203473945409429,0.6200910526423723,Under,0.0002563418985706001,2.5,Over,-1
2024-25,ucl-2024-25-087,0.6198347107438017,0.6368038740920097,0.6283192924179057,Under,0.00848458167410393,2.63,Under,1.63
2024-25,ucl-2024-25-138,0.6564102564102564,0.7017543859649122,0.6790823211875843,Under,0.022672064777328027,3.2,Over,-1
2024-25,ucl-2024-25-080,0.6564102564102564,0.6946902654867257,0.6755502609484911,Under,0.019140004538234556,3.14,Over,-1
2024-25,ucl-2024-25-121,0.6564102564102564,0.586734693877551,0.6215724751439037,Over,0.03483778126635273,1.62,Over,0.6200000000000001
2024-25,ucl-2024-25-146,0.6564102564102564,0.6203473945409429,0.6383788254755997,Over,0.018031430934656756,1.53,Over,0.53
2024-25,ucl-2024-25-050,0.6564102564102564,0.7306889352818372,0.6935495958460468,Under,0.03713933943579034,3.5,Over,-1
2024-25,ucl-2024-25-109,0.545016077170418,0.5526315789473685,0.5488238280588933,Under,0.0038077508884751254,2.1,Under,1.1
