season,date,match,side,model_p,price,close,ev,won,pnl,clv
2025/26,2025-12-10,Ipswich v Stoke,OVER,0.5647204474883369,1.91,2.1,0.07861605470272348,False,-1.0,-0.0904761904761906
2025/26,2025-12-10,Derby v Millwall,UNDER,0.6764833244908193,1.55,1.59,0.04854915296077,True,0.55,-0.02515723270440251
2025/26,2025-12-12,West Brom v Sheffield United,UNDER,0.5464913429815501,1.93,1.83,0.05472829195439166,True,0.9299999999999999,0.05464480874316924
2025/26,2025-12-13,Birmingham v Charlton,UNDER,0.5882490148623386,1.8,1.8,0.058848226752209465,True,0.8,0.0
2025/26,2025-12-13,Norwich v Southampton,OVER,0.6904847503230843,1.64,1.55,0.13239499052985826,True,0.6399999999999999,0.05806451612903207
2025/26,2025-12-19,Swansea v Wrexham,UNDER,0.5886575890218952,1.75,1.71,0.030150780788316567,False,-1.0,0.023391812865497075
2025/26,2025-12-20,Blackburn v Millwall,UNDER,0.60257425343923,1.75,1.71,0.05450494351865243,True,0.75,0.023391812865497075
2025/26,2025-12-20,Bristol City v Middlesbrough,OVER,0.5491762800904916,1.91,1.77,0.04892669497283886,False,-1.0,0.07909604519774005
2025/26,2025-12-20,Ipswich v Sheffield Weds,OVER,0.7031130863986216,1.57,1.54,0.10388754564583591,True,0.5700000000000001,0.01948051948051943
2025/26,2025-12-20,QPR v Leicester,OVER,0.5251204613384722,2.0,1.87,0.050240922676944466,True,1.0,0.06951871657753994
2025/26,2025-12-20,Southampton v Coventry,OVER,0.6924364206865814,1.62,1.54,0.12174700151226192,False,-1.0,0.051948051948051965
2025/26,2025-12-26,Coventry v Swansea,OVER,0.5910205537795986,1.75,1.62,0.0342859691142976,False,-1.0,0.08024691358024683
2025/26,2025-12-26,Oxford v Southampton,OVER,0.6214097744618141,1.79,1.73,0.11232349628664728,True,0.79,0.034682080924855585
2025/26,2025-12-29,Birmingham v Southampton,OVER,0.6163118797201038,1.9,1.71,0.17099257146819724,False,-1.0,0.11111111111111116
