season,team,h_a,game_n,ppda,xg,xga,npxg,npxga,wins,draws,loses,ppda_rolling10
2014/15,Hull,a,29,7.67,1.0475,0.53913,1.0475,0.53913,0,1,0,13.74
2014/15,Hull,h,30,9.8,1.32415,0.758601,1.32415,0.758601,0,0,1,13.95
2014/15,Hull,a,31,21.42,0.919329,1.49943,0.919329,1.49943,0,0,1,14.72
2014/15,Hull,a,32,16.05,0.737337,2.37369,0.737337,1.61253,0,0,1,15.15
2014/15,Hull,a,33,11.2,2.37709,0.913865,2.37709,0.913865,1,0,0,15.55
2014/15,Hull,h,34,12.92,0.730978,0.523697,0.730978,0.523697,1,0,0,14.02
2014/15,Hull,h,35,22.65,0.474706,2.94938,0.474706,2.94938,0,0,1,15.28
2014/15,Hull,h,36,8.25,1.12811,1.21303,1.12811,1.21303,0,0,1,15.46
2014/15,Hull,a,37,17.56,1.13285,1.70119,1.13285,1.70119,0,0,1,13.89
2014/15,Hull,h,38,14.0,0.984196,0.399522,0.984196,0.399522,0,1,0,14.15
2014/15,Leicester,h,1,14.48,1.2783,0.613273,1.2783,0.613273,0,1,0,
2014/15,Leicester,a,2,9.16,0.550894,2.02939,0.550894,2.02939,0,0,1,
2014/15,Leicester,h,3,11.0,0.809743,2.29649,0.809743,2.29649,0,1,0,11.55
2014/15,Leicester,a,4,12.21,0.598313,1.64782,0.598313,1.64782,1,0,0,11.71
2014/15,Leicester,h,5,12.39,2.5422,1.71191,1.01986,1.71191,1,0,0,11.85
2014/15,Leicester,a,6,7.44,0.453547,2.1144,0.453547,2.1144,0,0,1,11.11
2014/15,Leicester,h,7,7.65,1.57773,0.957718,1.57773,0.957718,0,1,0,10.62
2014/15,Leicester,a,8,10.0,0.650379,2.1929,0.650379,2.1929,0,0,1,10.54
2014/15,Leicester,a,9,14.5,0.773436,1.05601,0.773436,1.05601,0,0,1,10.98
2014/15,Leicester,h,10,8.39,1.41001,0.562442,1.41001,0.562442,0,0,1,10.72
2014/15,Leicester,a,11,20.88,0.540434,1.00528,0.540434,1.00528,0,0,1,11.36
2014/15,Leicester,h,12,8.61,0.685893,0.889971,0.685893,0.889971,0,1,0,11.31
2014/15,Leicester,a,13,6.03,2.10013,2.98194,2.10013,2.98194,0,0,1,10.81
2014/15,Leicester,h,14,11.33,1.23928,1.3012,1.23928,1.3012,0,0,1,10.72
2014/15,Leicester,a,15,9.34,1.0083,1.97697,1.0083,1.97697,0,0,1,10.42
2014/15,Leicester,h,16,9.69,0.360608,1.13411,0.360608,1.13411,0,0,1,10.64
